,Company,Acquisitions,Exits,Investments,Total Funding Amount,Number of Lead Investors,Number of Investors,Valuation ($B),Date Joined,City,Select Investors,ceo,education,predicted_value,Country,Industry
0,ByteDance,14.0,2.0,59.0,9405000000.0,13.0,29.0,140.0,1491523200.0,Beijing,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",Zhang Yiming,1,24.310200000000002,China,Artificial intelligence
1,SpaceX,1.0,0.0,0.0,9911790766.0,11.0,81.0,127.0,1354320000.0,Hawthorne,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",Elon Musk,1,32.74710000000002,United States,Other
2,SHEIN,1.0,0.0,0.0,2053426604.0,4.0,6.0,100.0,1530576000.0,Shenzhen,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",Chris Xu,1,4.658966666666667,China,E-commerce & direct-to-consumer
3,Stripe,13.0,1.0,59.0,2235000000.0,14.0,51.0,95.0,1390435200.0,San Francisco,"Khosla Ventures, LowercaseCapital, capitalG",Patrick Collison,2,17.78076666666666,United States,Fintech
4,Canva,6.0,0.0,2.0,572555000.0,8.0,35.0,40.0,1515369600.0,Surry Hills,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",Melanie Perkins,1,3.229966666666667,Australia,Internet software & services
5,Checkout.com,4.0,0.0,5.0,1830000000.0,4.0,13.0,40.0,1556755200.0,London,"Tiger Global Management, Insight Partners, DST Global",Guillaume Pousaz,0,3.873100000000001,United Kingdom,Fintech
6,Instacart,7.0,0.0,0.0,2919023124.0,13.0,37.0,39.0,1419897600.0,San Francisco,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",Apoorva Mehta,2,17.023800000000005,United States,"Supply chain, logistics, & delivery"
7,Databricks,4.0,0.0,0.0,3497000000.0,5.0,42.0,38.0,1549324800.0,San Francisco,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",Ali Ghodsi,0,11.605166666666662,United States,Data management & analytics
8,Revolut,1.0,0.0,0.0,1710939790.0,10.0,50.0,33.0,1524700800.0,London,"index Ventures, DST Global, Ribbit Capital",Nikolay Storonsky,0,4.619466666666667,United Kingdom,Fintech
9,Epic Games,18.0,0.0,21.0,6360000000.0,6.0,40.0,31.5,1540512000.0,Cary,"Tencent Holdings, KKR, Smash Ventures",Tim Sweeney,1,10.837166666666656,United States,Other
